Project,mcm-kui:3.4.0
Directory Scanned,~/Desktop/mcm-kui/awsom-output/node_modules
Date,2019-10-25T15:58:14.185Z
CLI Version,2.2.34
WILD Version,1.0.174
,
Name,Version,Need Pedigree Review,Reason,Review Level,Declared License,License Status,Path,Comments
on-headers,1.0.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,on-headers,,
once,1.4.0,FALSE,Previously pedigree reviewed,2,ISC,Approved,once,,
os-homedir,1.0.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,os-homedir,,
os-locale,1.4.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,os-locale,,
os-tmpdir,1.0.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,os-tmpdir,,
p-finally,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,p-finally,,
p-limit,2.2.1,FALSE,Exempt - Version closely related to 2.2.0,2,MIT,Approved,p-limit,,
parallel-transform,1.2.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,parallel-transform,,
parse-asn1,5.1.5,FALSE,Exempt - Version closely related to 5.1.1,2,ISC,Approved,parse-asn1,,
parse-glob,3.0.4,FALSE,Previously pedigree reviewed,2,MIT,Approved,parse-glob,,
parseurl,1.3.3,FALSE,Previously pedigree reviewed,2,MIT,Approved,parseurl,,
pascalcase,0.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,pascalcase,,
path-dirname,1.0.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,path-dirname,,
path-exists,3.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,path-exists,,
path-is-absolute,1.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,path-is-absolute,,
path-key,2.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,path-key,,
path-parse,1.0.6,FALSE,Exempt - Version closely related to 1.0.5,2,MIT,Approved,path-parse,,
path-to-regexp,0.1.7,FALSE,Exempt - Version closely related to 0.1.3,2,MIT,Approved,path-to-regexp,,
performance-now,2.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,performance-now,,
pify,2.3.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,pify,,
pinkie,2.0.4,FALSE,Exempt - Version closely related to 2.0.1,2,MIT,Approved,pinkie,,
pinkie-promise,2.0.1,FALSE,Exempt - Version closely related to 2.0.0,2,MIT,Approved,pinkie-promise,,
portfinder,1.0.25,FALSE,Exempt - Version closely related to 1.0.13,2,MIT,Needs Review,portfinder,,
posix-character-classes,0.1.1,FALSE,Previously pedigree reviewed,2,MIT,Needs Legal Approval,posix-character-classes,,
postcss,7.0.20,FALSE,Exempt - Version closely related to 7.0.17,2,MIT,Approved,postcss,,
postcss-value-parser,4.0.2,FALSE,Exempt - Version closely related to 4.0.1,2,MIT,Approved,postcss-value-parser,,
prebuild-install,5.3.2,FALSE,Exempt - Expected license matched,2,MIT,Approved,prebuild-install,,
preserve,0.2.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,preserve,,
process,0.11.10,FALSE,Exempt - Version closely related to 0.11.9,2,MIT,Approved,process,,
process-nextick-args,2.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,process-nextick-args,,
process-nextick-args,2.0.1,FALSE,Exempt - Version closely related to 2.0.0,2,MIT,Approved,process-nextick-args,,
properties-parser,0.3.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,properties-parser,,
proxy-addr,2.0.5,FALSE,Exempt - Version closely related to 2.0.2,2,MIT,Approved,proxy-addr,,
psl,1.4.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,psl,,
punycode,1.3.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,punycode,,
punycode,1.4.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,punycode,,
punycode,2.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,punycode,,
qs,6.5.2,FALSE,Previously pedigree reviewed,2,BSD-3-Clause,Approved,qs,,
qs,6.7.0,FALSE,Previously pedigree reviewed,2,BSD-3-Clause,Approved,qs,,
query-string,6.8.3,FALSE,Exempt - Expected license matched,2,MIT,Approved,query-string,,
querystring,0.2.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,querystring,,
randomatic,3.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,randomatic,,
range-parser,1.2.1,FALSE,Exempt - Version closely related to 1.2.0,2,MIT,Approved,range-parser,,
raw-body,2.3.3,FALSE,Exempt - Version closely related to 2.3.2,2,MIT,Approved,raw-body,,
raw-loader,3.1.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,raw-loader,,
react-is,16.11.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,react-is,,
react-tag-autocomplete,5.11.2,FALSE,Exempt - Version closely related to 5.11.1,2,MIT,Approved,react-tag-autocomplete,,
readable-stream,2.3.6,FALSE,Exempt - Version closely related to 2.3.2,2,MIT,Needs Review,readable-stream,,
rechoir,0.6.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,rechoir,,
regex-cache,0.4.4,FALSE,Exempt - Version closely related to 0.4.2,2,MIT,Approved,regex-cache,,
regex-not,1.0.2,FALSE,Exempt - Version closely related to 1.0.0,2,MIT,Approved,regex-not,,
regexp.prototype.flags,1.2.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,regexp.prototype.flags,,
repeat-string,1.6.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,repeat-string,,
request,2.88.0,FALSE,Previously pedigree reviewed,2,Apache-2.0,Approved,request,,
requestretry,1.13.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,requestretry,,
require-directory,2.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,require-directory,,
require-main-filename,1.0.1,FALSE,Previously pedigree reviewed,2,ISC,Approved,require-main-filename,,
resolve,1.12.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,resolve,,
resolve-url,0.2.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,resolve-url,,
ret,0.1.15,FALSE,Exempt - Version closely related to 0.1.13,2,MIT,Approved,ret,,
rimraf,2.7.1,FALSE,Previously pedigree reviewed,2,ISC,Approved,rimraf,,
safe-buffer,5.1.2,FALSE,Exempt - Version closely related to 5.1.0,2,MIT,Approved,safe-buffer,,
safe-regex,1.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,safe-regex,,
safer-buffer,2.1.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,safer-buffer,,
scheduler,0.17.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,scheduler,,
schema-utils,2.5.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,schema-utils,,
secure-keys,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved | Reference Only,secure-keys,,
selfsigned,1.10.7,FALSE,Exempt - Version closely related to 1.10.4,2,MIT,Approved,selfsigned,,
semver,5.7.0,FALSE,Previously pedigree reviewed,2,ISC,Approved,semver,,
semver,5.7.1,FALSE,Exempt - Version closely related to 5.7.0,2,ISC,Approved,semver,,
semver,6.3.0,FALSE,Previously pedigree reviewed,2,ISC,Approved,semver,,
send,0.16.2,FALSE,Exempt - Version closely related to 0.16.1,2,MIT,Approved,send,,
serialize-javascript,1.9.1,FALSE,Exempt - Expected license matched,2,BSD-3-Clause,Approved,serialize-javascript,,
serialize-javascript,2.1.0,FALSE,Exempt - Expected license matched,2,BSD-3-Clause,Approved,serialize-javascript,,
serve-static,1.13.2,FALSE,Exempt - Version closely related to 1.13.1,2,MIT,Approved,serve-static,,
set-blocking,2.0.0,FALSE,Previously pedigree reviewed,2,ISC,Approved,set-blocking,,
setimmediate,1.0.5,FALSE,Previously pedigree reviewed,2,MIT,Approved,setimmediate,,
setprototypeof,1.1.0,FALSE,Previously pedigree reviewed,2,ISC,Approved,setprototypeof,,
setprototypeof,1.1.1,FALSE,Exempt - Version closely related to 1.1.0,2,ISC,Approved,setprototypeof,,
shebang-command,1.2.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,shebang-command,,
shebang-regex,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,shebang-regex,,
shelljs,0.8.3,FALSE,Previously pedigree reviewed,2,BSD-3-Clause,Needs Review,shelljs,,
signal-exit,3.0.2,FALSE,Previously pedigree reviewed,2,ISC,Approved,signal-exit,,
simple-get,3.1.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,simple-get,,
snapdragon,0.8.2,FALSE,Exempt - Version closely related to 0.8.1,2,MIT,Approved,snapdragon,,
snapdragon-node,2.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,snapdragon-node,,
snapdragon-util,3.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,snapdragon-util,,
sockjs-client,1.4.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,sockjs-client,,
sockjs-echo,0.0.0-unreleasable,FALSE,Previously pedigree reviewed,2,,No license information available,sockjs-echo,,
sockjs-express,0.0.0-unreleasable,FALSE,Previously pedigree reviewed,2,,No license information available,sockjs-express,,
sockjs-hapi,0.0.0-unreleasable,FALSE,Previously pedigree reviewed,2,,No license information available,sockjs-hapi,,
sockjs-koa,0.0.0-unreleasable,FALSE,Previously pedigree reviewed,2,,No license information available,sockjs-koa,,
sockjs-multiplex,0.0.0-unreleasable,FALSE,Previously pedigree reviewed,2,,No license information available,sockjs-multiplex,,
source-map,0.5.7,FALSE,Exempt - Expected license matched,2,BSD-3-Clause,Approved,source-map,,
source-map,0.6.1,FALSE,Previously pedigree reviewed,2,BSD-3-Clause,Approved,source-map,,
source-map-resolve,0.5.2,FALSE,Exempt - Version closely related to 0.5.1,2,MIT,Approved,source-map-resolve,,
source-map-support,0.5.13,FALSE,Exempt - Version closely related to 0.5.3,2,MIT,Approved,source-map-support,,
source-map-url,0.4.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,source-map-url,,
spdy,4.0.1,FALSE,Exempt - Expected license matched,2,MIT,Approved,spdy,,
split-on-first,1.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,split-on-first,,
split-string,3.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,split-string,,
sprintf-js,1.0.3,FALSE,Previously pedigree reviewed,2,BSD-3-Clause,Approved,sprintf-js,,
sshpk,1.16.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,sshpk,,
static-extend,0.1.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,static-extend,,
statuses,1.4.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,statuses,,
statuses,1.5.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,statuses,,
stream-shift,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,stream-shift,,
strict-uri-encode,2.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,strict-uri-encode,,
string-width,1.0.2,FALSE,Exempt - Version closely related to 1.0.1,2,MIT,Approved,string-width,,
string-width,2.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,string-width,,
string.prototype.trimleft,2.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,string.prototype.trimleft,,
string.prototype.trimright,2.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,string.prototype.trimright,,
string_decoder,1.1.1,FALSE,Previously pedigree reviewed,2,MIT,Needs Review,string_decoder,,
strip-ansi,3.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,strip-ansi,,
strip-ansi,4.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,strip-ansi,,
strip-eof,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,strip-eof,,
strip-json-comments,2.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,strip-json-comments,,
tabbable,3.1.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,tabbable,,
tar-fs,2.0.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,tar-fs,,
terser-webpack-plugin,1.4.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,terser-webpack-plugin,,
terser-webpack-plugin,2.1.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,terser-webpack-plugin,,
tests,1.0.0,FALSE,Previously pedigree reviewed,2,Apache-2.0,Approved,tests,,
thunky,1.1.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,thunky,,
timers-browserify,2.0.11,FALSE,Exempt - Version closely related to 2.0.2,2,MIT,Needs Review,timers-browserify,,
to-object-path,0.3.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,to-object-path,,
to-regex,3.0.2,FALSE,Exempt - Version closely related to 3.0.1,2,MIT,Approved,to-regex,,
to-regex-range,2.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,to-regex-range,,
toidentifier,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,toidentifier,,
tough-cookie,2.4.3,FALSE,Previously pedigree reviewed,2,BSD-3-Clause,Approved,tough-cookie,,
tslib,1.10.0,FALSE,Previously pedigree reviewed,2,Apache-2.0,Approved,tslib,,
tunnel-agent,0.6.0,FALSE,Previously pedigree reviewed,2,Apache-2.0,Approved,tunnel-agent,,
tweetnacl,0.14.5,FALSE,Previously pedigree reviewed,2,Public Domain X11,Approved,tweetnacl,,
type-is,1.6.18,FALSE,Exempt - Version closely related to 1.6.16,2,MIT,Approved,type-is,,
typedarray,0.0.6,FALSE,Previously pedigree reviewed,2,MIT,Needs Review,typedarray,,
unpipe,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,unpipe,,
unset-value,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,unset-value,,
upath,1.2.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,upath,,
uri-js,4.2.2,FALSE,Previously pedigree reviewed,2,BSD-2-Clause,Approved,uri-js,,
urix,0.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,urix,,
url,0.11.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,url,,
use,3.1.1,FALSE,Exempt - Version closely related to 3.1.0,2,MIT,Approved,use,,
util,0.10.3,FALSE,Previously pedigree reviewed,2,MIT,Approved,util,,
util-deprecate,1.0.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,util-deprecate,,
util.promisify,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,util.promisify,,
utils-merge,1.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,utils-merge,,
uuid,3.3.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,uuid,,
uuid,3.3.3,FALSE,Exempt - Version closely related to 3.3.2,2,MIT,Approved,uuid,,
vary,1.1.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,vary,,
verror,1.10.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,verror,,
warning,3.0.0,FALSE,Previously pedigree reviewed,2,BSD-3-Clause,Needs Review,warning,,
webpack-cli,3.3.9,FALSE,Exempt - Version closely related to 3.3.5,2,MIT,Approved,webpack-cli,,
webpack-dev-middleware,3.7.2,FALSE,Exempt - Version closely related to 3.7.0,2,MIT,Approved,webpack-dev-middleware,,
webpack-dev-server,3.8.2,FALSE,Exempt - Expected license matched,2,MIT,Approved,webpack-dev-server,,
webpack-sources,1.4.3,FALSE,Previously pedigree reviewed,2,MIT,Approved,webpack-sources,,
which,1.3.1,FALSE,Previously pedigree reviewed,2,ISC,Approved,which,,
which-module,2.0.0,FALSE,Previously pedigree reviewed,2,ISC,Approved,which-module,,
window-or-global,1.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,window-or-global,,
window-size,0.1.4,FALSE,Exempt - Version closely related to 0.1.2,2,MIT,Approved,window-size,,
wrap-ansi,2.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,wrap-ansi,,
wrappy,1.0.2,FALSE,Previously pedigree reviewed,2,ISC,Approved,wrappy,,
ws,6.2.1,FALSE,Exempt - Version closely related to 6.2.0,2,MIT,Approved,ws,,
ws,7.1.2,FALSE,Exempt - Version closely related to 7.1.1,2,MIT,Approved,ws,,
xml2js,0.4.22,FALSE,Exempt - Version closely related to 0.4.19,2,MIT,Approved,xml2js,,
xmlbuilder,11.0.1,FALSE,Exempt - Expected license matched,2,MIT,Approved,xmlbuilder,,
xtend,4.0.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,xtend,,
y18n,3.2.1,FALSE,Exempt - Version closely related to 3.2.0,2,ISC,Approved,y18n,,
yallist,3.1.1,FALSE,Exempt - Expected license matched,2,ISC,Approved,yallist,,
yargs,3.32.0,FALSE,Previously pedigree reviewed,2,MIT,Needs Review,yargs,,
